Zip Code,Location,City,Population,National Rank
77046,"29.733084, -95.430659","Houston, Texas",471,#108
77081,"29.712099, -95.480935","Houston, Texas",49691,#308
77036,"29.699048, -95.536507","Houston, Texas",76146,#609
77006,"29.741003, -95.391271","Houston, Texas",18875,#754
77057,"29.744068, -95.489210","Houston, Texas",35491,#825
77074,"29.687947, -95.515725","Houston, Texas",39159,#918
77080,"29.815893, -95.522964","Houston, Texas",46261,#959
77035,"29.653039, -95.476515","Houston, Texas",39571,#993
77099,"29.670869, -95.585990","Houston, Texas",43116,"#1,026"
77072,"29.699688, -95.584817","Houston, Texas",51716,"#1,038"
77098,"29.734813, -95.416098","Houston, Texas",12179,"#1,066"
77009,"29.795344, -95.367590","Houston, Texas",42380,"#1,067"
77011,"29.742988, -95.307114","Houston, Texas",23052,"#1,216"
77076,"29.860021, -95.382184","Houston, Texas",30030,"#1,225"
77063,"29.736295, -95.523292","Houston, Texas",27200,"#1,227"
77002,"29.756845, -95.365652","Houston, Texas",13289,"#1,241"
77012,"29.717567, -95.275115","Houston, Texas",25174,"#1,270"
77005,"29.718435, -95.423555","Houston, Texas",23338,"#1,307"
77023,"29.721825, -95.318275","Houston, Texas",33050,"#1,350"
77042,"29.741325, -95.560254","Houston, Texas",36282,"#1,376"
77096,"29.674133, -95.478354","Houston, Texas",33987,"#1,439"
77071,"29.651669, -95.521998","Houston, Texas",25021,"#1,441"
77087,"29.685621, -95.304159","Houston, Texas",36194,"#1,506"
77022,"29.831590, -95.379553","Houston, Texas",31781,"#1,555"
77025,"29.688811, -95.434780","Houston, Texas",23581,"#1,556"
77083,"29.693991, -95.647830","Houston, Texas",52061,"#1,586"
77031,"29.652205, -95.546230","Houston, Texas",17004,"#1,590"
77019,"29.752702, -95.407379","Houston, Texas",15640,"#1,650"
77055,"29.796871, -95.491650","Houston, Texas",43477,"#1,682"
77004,"29.724893, -95.363752","Houston, Texas",30379,"#1,719"
77092,"29.830858, -95.474872","Houston, Texas",37899,"#1,866"
77033,"29.666880, -95.335133","Houston, Texas",27676,"#1,982"
77062,"29.575781, -95.134334","Houston, Texas",26978,"#1,986"
77079,"29.774523, -95.601071","Houston, Texas",30887,"#1,999"
77008,"29.798249, -95.416933","Houston, Texas",28661,"#2,055"
77030,"29.704849, -95.404429","Houston, Texas",10984,"#2,071"
77077,"29.749158, -95.620344","Houston, Texas",42416,"#2,088"
77060,"29.935512, -95.397624","Houston, Texas",36306,"#2,095"
77067,"29.952629, -95.446609","Houston, Texas",24418,"#2,117"
77088,"29.881487, -95.452619","Houston, Texas",47739,"#2,146"
77020,"29.773179, -95.314327","Houston, Texas",28679,"#2,235"
77027,"29.744002, -95.443213","Houston, Texas",14217,"#2,253"
77021,"29.697363, -95.358898","Houston, Texas",24159,"#2,271"
77056,"29.749035, -95.469021","Houston, Texas",14031,"#2,319"
77026,"29.800187, -95.328888","Houston, Texas",27593,"#2,326"
77018,"29.826448, -95.426267","Houston, Texas",26397,"#2,363"
77093,"29.863400, -95.341409","Houston, Texas",45908,"#2,420"
77003,"29.749563, -95.346265","Houston, Texas",9195,"#2,719"
77017,"29.692600, -95.252270","Houston, Texas",32823,"#2,729"
77089,"29.588469, -95.218012","Houston, Texas",36450,"#2,797"
77091,"29.853067, -95.435966","Houston, Texas",24460,"#2,808"
77065,"29.926556, -95.603242","Houston, Texas",27070,"#2,857"
77069,"29.986925, -95.524903","Houston, Texas",14756,"#2,960"
77043,"29.806532, -95.567179","Houston, Texas",24470,"#3,002"
77061,"29.647012, -95.276630","Houston, Texas",25500,"#3,042"
77066,"29.958498, -95.500223","Houston, Texas",27638,"#3,076"
77054,"29.680250, -95.404913","Houston, Texas",16656,"#3,143"
77082,"29.724490, -95.640002","Houston, Texas",36201,"#3,204"
77090,"30.008250, -95.438998","Houston, Texas",25742,"#3,354"
77086,"29.920445, -95.489262","Houston, Texas",19815,"#3,392"
77016,"29.863166, -95.298522","Houston, Texas",29753,"#3,394"
77034,"29.621703, -95.206676","Houston, Texas",26342,"#3,423"
77040,"29.876755, -95.532143","Houston, Texas",39520,"#3,425"
77024,"29.771991, -95.515453","Houston, Texas",32746,"#3,454"
77037,"29.891373, -95.390561","Houston, Texas",18562,"#3,467"
77014,"29.981209, -95.463971","Houston, Texas",20706,"#3,509"
77039,"29.911171, -95.341182","Houston, Texas",27718,"#3,513"
77095,"29.916055, -95.663077","Houston, Texas",39275,"#3,642"
77007,"29.771530, -95.414883","Houston, Texas",22497,"#3,649"
77068,"30.008830, -95.487234","Houston, Texas",9505,"#3,745"
77070,"29.979670, -95.572835","Houston, Texas",32385,"#3,756"
77015,"29.765809, -95.175116","Houston, Texas",50569,"#3,924"
77051,"29.663567, -95.375573","Houston, Texas",13235,"#3,988"
77064,"29.924216, -95.537411","Houston, Texas",35966,"#3,998"
77038,"29.918595, -95.441194","Houston, Texas",20654,"#4,091"
77075,"29.620420, -95.268939","Houston, Texas",22423,"#4,470"
77045,"29.637640, -95.425544","Houston, Texas",25531,"#4,503"
77053,"29.582750, -95.449620","Houston, Texas",25428,"#4,523"
77028,"29.825122, -95.286360","Houston, Texas",16490,"#4,620"
77013,"29.791808, -95.228991","Houston, Texas",18378,"#4,655"
77058,"29.561579, -95.099626","Houston, Texas",15206,"#4,832"
77084,"29.826860, -95.650860","Houston, Texas",63557,"#4,959"
77085,"29.626362, -95.488475","Houston, Texas",7496,"#5,258"
77078,"29.845618, -95.239696","Houston, Texas",14479,"#5,260"
77029,"29.764519, -95.265896","Houston, Texas",18272,"#5,346"
77048,"29.618714, -95.324221","Houston, Texas",14267,"#5,664"
77041,"29.857989, -95.585771","Houston, Texas",25275,"#5,849"
77010,"29.754310, -95.361109","Houston, Texas",76,"#5,962"
77059,"29.615219, -95.134960","Houston, Texas",16690,"#6,018"
77073,"29.999296, -95.400207","Houston, Texas",12787,"#6,379"
77047,"29.610638, -95.385224","Houston, Texas",11112,"#6,955"
77049,"29.832928, -95.149040","Houston, Texas",16598,"#7,245"
77094,"29.769285, -95.681292","Houston, Texas",7779,"#7,723"
77050,"29.903351, -95.262070","Houston, Texas",4357,"#7,953"
77032,"29.987805, -95.353412","Houston, Texas",10796,"#7,956"
77044,"29.890649, -95.169294","Houston, Texas",13340,"#9,463"
